annee;code_postal;prix_m2;dep_code;dep_nom;reg_code;reg_nom;population;superficie_km2;zone_emploi;taux_global_tfb;taux_global_tfnb;taux_plein_teom;taux_global_th;nb_ventes;variation;y
2022;2320.0;1461.4874009032437;02;Aisne;32.0;Hauts-de-France;7534.0;78.0;3221.0;64.73;76.43;;36.77;465;;stable
2022;2330.0;1403.3868531447174;02;Aisne;32.0;Hauts-de-France;2935.0;99.0;3209.0;64.73;76.43;;36.77;396;;stable
2022;2340.0;870.2423528389137;02;Aisne;32.0;Hauts-de-France;4337.0;148.0;3214.0;64.73;76.42999999999999;;36.77;327;;stable
2022;2350.0;1038.1865314163326;02;Aisne;32.0;Hauts-de-France;5026.0;176.0;3214.0;64.73;76.43;;36.77;343;;stable
2022;2360.0;1442.272514780841;02;Aisne;32.0;Hauts-de-France;2874.0;123.0;3214.0;64.73;76.43;;36.77;338;;stable
2022;2370.0;1615.4249643084017;02;Aisne;32.0;Hauts-de-France;4458.0;69.0;3221.0;64.73;76.43;;36.77;519;;stable
2022;2380.0;1917.130555722078;02;Aisne;32.0;Hauts-de-France;2911.0;84.0;3221.0;64.73;76.43;;36.77;217;;stable
2022;2390.0;1042.6832971599658;02;Aisne;32.0;Hauts-de-France;3227.0;51.0;3220.0;64.73;76.43;;36.77;209;;stable
2022;2400.0;2351.123317310274;02;Aisne;32.0;Hauts-de-France;30484.0;219.0;3209.0;64.73;76.43;;36.77;1872;;stable
2022;2410.0;1728.0937444701817;02;Aisne;32.0;Hauts-de-France;2595.0;45.0;3214.0;64.73;76.43;;36.77;231;;stable
2022;2420.0;919.8002061724021;02;Aisne;32.0;Hauts-de-France;6854.0;117.0;3220.0;64.73;76.43;;36.77;418;;stable
2022;2430.0;1371.044422976033;02;Aisne;32.0;Hauts-de-France;5235.0;6.0;3220.0;64.73;76.43;;36.77;167;;stable
2022;2440.0;1561.6612530530308;02;Aisne;32.0;Hauts-de-France;2942.0;40.0;3220.0;64.73;76.42999999999999;;36.77;157;;stable
2022;2450.0;1027.6847600551384;02;Aisne;32.0;Hauts-de-France;3229.0;69.0;3217.0;64.73;76.42999999999999;;36.77;291;;stable
2022;2460.0;2588.7189372928465;02;Aisne;32.0;Hauts-de-France;2400.0;24.0;3221.0;64.73;76.43;;36.77;181;;stable
2022;2470.0;1459.3381962861445;02;Aisne;32.0;Hauts-de-France;3033.0;63.0;3221.0;64.73;76.43;;36.77;154;;stable
2022;2480.0;1428.8206708854275;02;Aisne;32.0;Hauts-de-France;3309.0;58.0;3220.0;64.73;76.43;;36.77;190;;stable
2022;2490.0;1322.6059780055323;02;Aisne;32.0;Hauts-de-France;3144.0;83.0;3220.0;64.73;76.43;;36.77;174;;stable
2022;2500.0;1047.2338409908064;02;Aisne;32.0;Hauts-de-France;14984.0;218.0;3217.0;64.73;76.43;;36.77;1126;;stable
2022;2510.0;1135.5321639177105;02;Aisne;32.0;Hauts-de-France;2188.0;38.0;3220.0;64.73;76.43;;36.77;213;;stable
2022;2520.0;1646.5563983007155;02;Aisne;32.0;Hauts-de-France;1669.0;13.0;3220.0;64.73;76.43;;36.77;106;;stable
2022;2540.0;1702.5284389265732;02;Aisne;32.0;Hauts-de-France;3081.0;92.0;3209.0;64.73;76.42999999999999;;36.77;362;;stable
2022;2550.0;1175.870416854326;02;Aisne;32.0;Hauts-de-France;1432.0;16.0;3217.0;64.73;76.43;;36.77;87;;stable
2022;2570.0;1794.0376619585948;02;Aisne;32.0;Hauts-de-France;2053.0;39.0;3209.0;64.73;76.43;;36.77;152;;stable
2022;2580.0;882.3765292252051;02;Aisne;32.0;Hauts-de-France;1297.0;39.0;3217.0;64.73;76.43;;36.77;70;;stable
2022;2590.0;1256.11291682907;02;Aisne;32.0;Hauts-de-France;3680.0;63.0;3220.0;64.73;76.43;;36.77;188;;stable
2022;2600.0;2141.829345476569;02;Aisne;32.0;Hauts-de-France;16831.0;297.0;3221.0;64.73;76.43;;36.77;1101;;stable
2022;2610.0;2247.5259662892395;02;Aisne;32.0;Hauts-de-France;986.0;6.0;3220.0;64.73;76.43;;36.77;54;;stable
